season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,player_id,id,name,team,position,price,start_price,end_price,price_change,points_per_million,points_per_90,minutes_per_game,goal_contributions,goals_per_90,assists_per_90,xg_per_90,xa_per_90,xgi_per_90,saves_per_90,clean_sheet_rate,bonus_per_90,total_points_lag1,total_points_lag2,minutes_lag1,minutes_lag2,goals_scored_lag1,goals_scored_lag2,assists_lag1,assists_lag2,clean_sheets_lag1,clean_sheets_lag2,bonus_lag1,bonus_lag2,points_per_90_lag1,points_per_90_lag2,xg_per_90_lag1,xg_per_90_lag2,xa_per_90_lag1,xa_per_90_lag2,pos_DEF,pos_FWD,pos_GKP,pos_MID,season_num
2022/23,154561,45,48,166,3420,0,0,12,46,1,0,0,1,0,154,20,822,1146.0,20.1,4.0,117.3,0,0,0,0,38,0.11,0.12,0.23,50.12,1,1,Raya,Arsenal,GKP,6.0,4.5,4.8,0.2999999999999998,34.583333333333336,4.368421052631579,90.0,0,0.0,0.0,0.0028947368421052633,0.003157894736842105,0.0060526315789473685,4.052631578947368,0.3157894736842105,0.5263157894736842,95.0,,2160.0,,0.0,,0.0,,8.0,,5.0,,3.9583333333333335,,0.0,,0.0,,False,False,True,False,2.0
2023/24,154561,50,53,135,2880,0,0,16,24,0,1,0,2,0,46,6,569,413.0,0.0,0.0,41.1,0,0,0,0,32,0.0,0.04,0.04,22.51,1,1,Raya,Arsenal,GKP,6.0,5.0,5.3,0.2999999999999998,25.471698113207548,4.21875,75.78947368421052,0,0.0,0.0,0.0,0.00125,0.00125,1.4375,0.42105263157894735,0.1875,166.0,95.0,3420.0,2160.0,0.0,0.0,0.0,0.0,12.0,8.0,20.0,5.0,4.368421052631579,3.9583333333333335,0.0028947368421052633,0.0,0.003157894736842105,0.0,False,False,True,False,3.0
2024/25,154561,55,56,142,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,0,0,0,0,38,0.0,0.03,0.03,35.03,1,1,Raya,Arsenal,GKP,6.0,5.5,5.6,0.09999999999999964,25.357142857142858,3.736842105263158,90.0,0,0.0,0.0,0.0,0.0007894736842105263,0.0007894736842105263,2.263157894736842,0.34210526315789475,0.2631578947368421,135.0,166.0,2880.0,3420.0,0.0,0.0,0.0,0.0,16.0,12.0,6.0,20.0,4.21875,4.368421052631579,0.0,0.0028947368421052633,0.00125,0.003157894736842105,False,False,True,False,4.0
2025/26,154561,55,62,162,3330,0,0,19,26,0,0,0,1,0,60,11,633,541.6,33.5,0.0,57.5,37,304,1,0,37,0.0,0.07,0.07,27.56,1,1,Raya,Arsenal,GKP,6.0,5.5,6.2,0.7000000000000002,26.129032258064516,4.378378378378378,87.63157894736842,0,0.0,0.0,0.0,0.001891891891891892,0.001891891891891892,1.6216216216216217,0.5,0.2972972972972973,142.0,135.0,3420.0,2880.0,0.0,0.0,0.0,0.0,13.0,16.0,10.0,6.0,3.736842105263158,4.21875,0.0,0.0,0.0007894736842105263,0.00125,False,False,True,False,5.0
2019/20,109745,55,54,90,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0.0,0.0,50.2,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,Arrizabalaga,Arsenal,GKP,5.0,5.5,5.4,-0.09999999999999964,16.666666666666664,2.727272727272727,78.15789473684211,0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.21052631578947367,0.0,142.0,,3240.0,,0.0,,0.0,,14.0,,7.0,,3.9444444444444446,,0.0,,0.0,,False,False,True,False,
2020/21,109745,50,47,26,585,0,0,2,8,0,0,0,1,0,16,5,117,113.6,0.0,0.0,11.3,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,Arrizabalaga,Arsenal,GKP,5.0,5.0,4.7,-0.2999999999999998,5.531914893617021,4.0,15.394736842105264,0,0.0,0.0,0.0,0.0,0.0,2.4615384615384617,0.05263157894736842,0.7692307692307693,90.0,142.0,2970.0,3240.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,7.0,2.727272727272727,3.9444444444444446,0.0,0.0,0.0,0.0,False,False,True,False,
2021/22,109745,50,45,19,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0.0,9.6,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,Arrizabalaga,Arsenal,GKP,5.0,5.0,4.5,-0.5,4.222222222222222,4.75,9.473684210526315,0,0.0,0.0,0.0,0.0,0.0,2.75,0.05263157894736842,0.25,26.0,90.0,585.0,2970.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,0.0,4.0,2.727272727272727,0.0,0.0,0.0,0.0,False,False,True,False,1.0
2022/23,109745,45,45,118,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0.0,73.3,0,0,0,0,29,0.0,0.0,0.0,38.34,2,2,Arrizabalaga,Arsenal,GKP,5.0,4.5,4.5,0.0,26.22222222222222,4.140350877192983,67.5,0,0.0,0.0,0.0,0.0,0.0,3.192982456140351,0.23684210526315788,0.5263157894736842,19.0,26.0,360.0,585.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,4.75,4.0,0.0,0.0,0.0,0.0,False,False,True,False,2.0
2023/24,109745,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,Arrizabalaga,Arsenal,GKP,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,19.0,2565.0,360.0,0.0,0.0,0.0,0.0,9.0,2.0,15.0,1.0,4.140350877192983,4.75,0.0,0.0,0.0,0.0,False,False,True,False,3.0
2024/25,109745,45,46,106,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,0,0,0,0,31,0.06,0.03,0.09,38.83,2,2,Arrizabalaga,Arsenal,GKP,5.0,4.5,4.6,0.09999999999999964,23.043478260869566,3.4193548387096775,73.42105263157895,0,0.0,0.0,0.001935483870967742,0.000967741935483871,0.0029032258064516127,3.129032258064516,0.21052631578947367,0.22580645161290322,0.0,118.0,0.0,2565.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,4.140350877192983,0.0,0.0,0.0,0.0,False,False,True,False,4.0
